Satisfaction Score,Schedule Pacing,Timestamp,Track,Year,location,week
10,4.0,7/1/2016 6:41:54,Apps,2016,NY,2
10,4.0,7/1/2016 6:27:48,Games,2016,NY,2
10,3.0,7/1/2016 6:31:02,Intro,2016,NY,2
10,3.0,7/1/2016 6:31:12,Intro,2016,NY,2
10,3.0,7/1/2016 6:36:15,Intro,2016,NY,2
4,4.0,6/24/2016 13:32:01,Games,2016,SV,1
6,4.0,6/24/2016 13:48:09,Apps,2016,SV,1
6,3.0,6/24/2016 13:49:23,Apps,2016,SV,1
6,5.0,6/24/2016 13:53:25,Apps,2016,SV,1
6,3.0,6/24/2016 13:55:19,Apps,2016,SV,1
6,3.0,6/24/2016 13:41:53,Games,2016,SV,1
8,4.0,6/24/2016 13:46:23,Apps,2016,SV,1
8,3.0,6/24/2016 13:46:42,Apps,2016,SV,1
